id,typology,area,floor,location,price,seller contact
30857595,T3 ,545,,lumiar,1669489,215561507
30857604,T3 ,500,,lumiar,1619801,215561507
31508307,T3 ,190,2º andar ,lumiar,648000,215563197
31492088,T2 ,111,3º andar ,lumiar,335000,215550925
31492087,T2 ,125,7º andar ,lumiar,400000,215550925
31492090,T2 ,111,5º andar ,lumiar,345000,215550925
31492089,T2 ,111,5º andar ,lumiar,345000,215550925
31492086,T1 ,81,Andar -1 ,lumiar,220000,215550925
29314835,T3 ,535,,lumiar,1471118,215550793
31507489,T3 ,175,8º andar ,lumiar,560000,215555164
31507272,T2 ,75,4º andar ,lumiar,179000,215552063
31507262,T1 ,68, ,lumiar,193000,215561029
31504073,T0 ,56,Rés do chão ,lumiar,230000,215552567
31503884,T3 ,135,,lumiar,550000,215562452
31503880,T4 ,210,6º andar ,lumiar,650000,215565769 
31502919,T4 ,275,1º andar ,lumiar,855000,967033099
28927433,T3 ,96, ,lumiar,420000,215561846
31500254,T2 ,74,6º andar ,lumiar,175000,962337917
31500407,T4 ,116,,lumiar,430000,215552673
31500350,T4 ,204,,lumiar,1280000,215552816
31499668,T2 ,59,Rés do chão ,lumiar,199000,215553697
31499165,T4 ,204,2º andar ,lumiar,1280000,215564082
31499091,T4 ,204,2º andar ,lumiar,1280000,215561329
31498454,T2 ,83,3º andar ,lumiar,285000,215559732
31497860,T4 ,163,,lumiar,435000,215552943
31497589,T2 ,102, ,lumiar,240000,215564128
31496980,T3 ,110, ,lumiar,395000,215561029
31496570,T3 ,181,10º andar ,lumiar,635000,215559813
31494831,T3 ,203,,lumiar,675000,215552945
31492703,T3 ,150,5º andar ,lumiar,690000,215561076
31491997,T3 ,155,7º andar ,lumiar,470000,215550925
31491040,T3 ,116,,lumiar,456000,215552741
31490922,T4 ,165,,lumiar,630000,215552931
31490875,T1 ,70,4º andar ,lumiar,285000,215552748
31489937,T4 ,191,8º andar ,lumiar,765000,215553078
31489933,T5 ,437,,lumiar,1650000,215561846
31489524,T3 ,168,5º andar ,lumiar,675000,215560317
31489485,T4 ,165,5º andar ,lumiar,475000,215552567
31489124,T2 ,102,7º andar ,lumiar,405000,215550292
31327232,T1 ,84,Sub cave ,lumiar,225000,215552851
31476302,T1 ,90,Sub cave ,lumiar,225000,215552851
31488357,T3 ,150,1º andar ,lumiar,395000,215550947
28057152,T4 ,374,,lumiar,1750000,919365958
31487208,T1 ,92,5º andar ,lumiar,315000,215554863
31486886,T3 ,120, ,lumiar,399990,215561284
31486288,T3 ,201,,lumiar,750000,215552945
31486237,T1 ,54,,lumiar,240000,215552761
31486236,T1 ,54,,lumiar,240000,215552761
31485366,T4 ,203,11º andar ,lumiar,825000,917536275
31485531,T1 ,78,3º andar ,lumiar,228000,215557182
31484665,T2 ,112,1º andar ,lumiar,365000,215568631
31484472,T2 ,90,2º andar ,lumiar,255000,215565473
31482778,T1 ,60,1º andar ,lumiar,240000,215559063
31327053,T4 ,262,2º andar ,lumiar,695000,215552851
31481242,T0 ,56,Rés do chão ,lumiar,179900,210054118
31480620,T2 ,61,,lumiar,170000,215550143
31464725,T1 ,82, ,lumiar,228000,215561149
31470511,T2 ,144, ,lumiar,585000,215561149
31479570,T2 ,89,,lumiar,170000,215560298
31479739,T3 ,160,3º andar ,lumiar,395000,215566243
31479154,T3 ,136,10º andar ,lumiar,635000,910666091
31478180,T5 ,230,,lumiar,1395000,215552783
31477381,T3 ,190, ,lumiar,648000,215561338
31477143,T3 ,150,4º andar ,lumiar,650000,215567291
31476289,T1 ,84,Sub cave ,lumiar,220000,215552851
31327236,T1 ,79,2º andar ,lumiar,250000,215552851
31476426,T2 ,92,5º andar ,lumiar,315000,215554863
31476300,T3 ,155,1º andar ,lumiar,430000,215552851
31476298,T2 ,132,5º andar ,lumiar,370000,215552851
31327250,T1 ,107,5º andar ,lumiar,280000,215552851
31476100,T4 ,202,5º andar ,lumiar,585000,215552851
31475873,T2 ,125,,lumiar,495000,215552906
31474458,T4 ,236,3º andar ,lumiar,765000,215560940
31472346,T2 ,115,6º andar ,lumiar,385000,215554368
31471935,T2 ,55,3º andar ,lumiar,213000,215565769 
31471705,T3 ,143,9º andar ,lumiar,575000,215552748
31469573,T1 ,65,1º andar ,lumiar,230000,913917635
31470507,T2 ,75, ,lumiar,175000,215569402
31470431,T3 ,137,5º andar ,lumiar,490000,939702072
31469935,T3 ,125,3º andar ,lumiar,455000,215554935
31469765,T4 ,155,5º andar ,lumiar,585000,225562045
31469123,T4 ,162,8º andar ,lumiar,820000,215553078
31468244,T3 ,184,,lumiar,698000,215559638
31464424,T3 ,139,5º andar ,lumiar,500000,917794689
31465337,T3 ,126, ,lumiar,695000,215553184
31464292,T4 ,186, ,lumiar,599000,215552495
31461626,T3 ,106,6º andar ,lumiar,465000,215563012
31460553,T4 ,156,,lumiar,595000,215552945
31460519,T3 ,120,,lumiar,480000,215552794
31459718,T4 ,242, ,lumiar,649000,215563708
31456617,T1 ,78,5º andar ,lumiar,299000,215552567
31455280,T1 ,61,1º andar ,lumiar,240000,215559063
31450564,T1 ,61,2º andar ,lumiar,230000,914748918
31449899,T4 ,150,8º andar ,lumiar,750000,215551863
31448646,T3 ,117,,lumiar,390000,215556184
31448177,T2 ,87,1º andar ,lumiar,330000,215552567
31447894,T3 ,165,,lumiar,560000,215552931
31443724,T2 ,125,Rés do chão ,lumiar,380000,215560684
31443264,T3 ,113, ,lumiar,400000,215553968
31442684,T5 ,288,8º andar ,lumiar,995500,215561846
31442495,T3 ,102,2º andar ,lumiar,390000,215565473
31152684,T4 ,205,8º andar ,lumiar,765000,215561643
31442091,T2 ,146, ,lumiar,415000,215553078
31441593,T3 ,150, ,lumiar,290000,215558917
31440894,T3 ,150,4º andar ,lumiar,650000,215567291
31437361,T4 ,181,4º andar ,lumiar,628000,215551954
31327211,T4 ,202,1º andar ,lumiar,565000,215552851
31435505,T2 ,138,2º andar ,lumiar,375000,265568374
31435308,T1 ,43,8º andar ,lumiar,220000,215555738
29595298,T4 ,173,2º andar ,lumiar,650000,215555738
31432639,T3 ,150,4º andar ,lumiar,650000,215564117
31432826,T3 ,85,3º andar ,lumiar,300000,912528786
31432020,T4 ,157,,lumiar,656625,215552761
31431988,T3 ,136,2º andar ,lumiar,488529,215552761
31431986,T2 ,119,1º andar ,lumiar,393975,215552761
31431713,T3 ,190,8º andar ,lumiar,699000,215551863
31430674,T3 ,137,Rés do chão ,lumiar,430000,225562045
31430498,T6 ,558,,lumiar,1450000,215557625
31428364,T3 ,155, ,lumiar,427000,215561793
31172595,T2 ,210,Rés do chão ,lumiar,285000,210206130
31427816,T4 ,297,7º andar ,lumiar,750000,215560682
31427499,T3 ,102,1º andar ,lumiar,390000,912306105
31427471,T3 ,128,7º andar ,lumiar,590000,215560317
31427311,T2 ,92,1º andar ,lumiar,325000,225562045
31427161,T2 ,92,4º andar ,lumiar,345000,225562045
31427116,T2 ,113,1º andar ,lumiar,345000,225562045
31426832,T4 ,222,,lumiar,575000,215552783
31425531,T4 ,222,2º andar ,lumiar,575000,215560269
31424816,T3 ,103,,lumiar,225000,215551732
31424756,T1 ,72,7º andar ,lumiar,330000,215560317
31423311,T3 ,110,1º andar ,lumiar,360000,912499462
31423013,T2 ,153,1º andar ,lumiar,499000,265563019
31422690,T1 ,84,,lumiar,250000,215552741
31419621,T4 ,170,5º andar ,lumiar,790000,215556451
31418852,T1 ,53,1º andar ,lumiar,235000,225562045
31417396,T2 ,125,,lumiar,380000,215552931
31417347,T4 ,200,,lumiar,895000,215559701
31417295,T5 ,261,7º andar ,lumiar,1400000,215552748
31415903,T2 ,98,1º andar ,lumiar,345000,215550342
31415663,T2 ,75,4º andar ,lumiar,245000,215563012
31415491,T3 ,141,5º andar ,lumiar,610000,215551954
31148305,T3 ,164,,lumiar,640000,215552803
31414103,T3 ,149,Rés do chão ,lumiar,675000,215560731
31411800,T3 ,59,3º andar ,lumiar,130000,215553549
31410867,T3 ,104,2º andar ,lumiar,425000,215555769
31409352,T2 ,90,,lumiar,190000,215553078
31407705,T2 ,97,4º andar ,lumiar,364500,215565017
31406120,T2 ,112,2º andar ,lumiar,525000,210020965
31343144,T2 ,106, ,lumiar,375000,215550978
31404366,T1 ,75,,lumiar,275000,215552945
31403180,T5 ,317,3º andar ,lumiar,1550000,215565359
31403078,T3 ,208,4º andar ,lumiar,645000,210007021
31403003,T4 ,128,4º andar ,lumiar,499000,215563012
31401773,T4 ,117,,lumiar,375000,215552764
31401448,T2 ,165,2º andar ,lumiar,427000,910216183
31400936,T3 ,145,4º andar ,lumiar,548000,215551954
31383956,T3 ,146,3º andar ,lumiar,515000,215563012
31398582,T2 ,85,1º andar ,lumiar,279000,912974599
31397712,T4 ,117,2º andar ,lumiar,375000,215563974
31396065,T4 ,144,5º andar ,lumiar,520000,215563526
31395498,T2 ,95,2º andar ,lumiar,265000,215562293
31392599,T3 ,106,6º andar ,lumiar,395000,215557182
31392278,T3 ,129,1º andar ,lumiar,395000,210027604
31392027,T3 ,120,5º andar ,lumiar,456000,265564135
31390197,T4 ,210,6º andar ,lumiar,650000,215550347
31389842,T4 ,175,,lumiar,925000,215552869
31387853,T4 ,200,1º andar ,lumiar,850000,215550438
31387329,T4 ,180,,lumiar,680000,215552869
31382136,T3 ,116,,lumiar,554900,215567264
31379132,T4 ,197,5º andar ,lumiar,675000,215552834
31376328,T3 ,119,2º andar ,lumiar,427000,215560684
31375240,T3 ,173,,lumiar,565000,215552741
31373558,T3 ,146,1º andar ,lumiar,395000,289987045
30769694,T2 ,68,,lumiar,580000,289981791
31371627,T1 ,82,1º andar ,lumiar,297000,916468025
31372776,T4 ,180,,lumiar,850000,215552945
31371798,T1 ,60,3º andar ,lumiar,295900,215568912
31246699,T2 ,107,2º andar ,lumiar,385000,215560682
31369704,T3 ,143,3º andar ,lumiar,400000,215565017
31365199,T3 ,180,9º andar ,lumiar,695000,215564172
31362650,T3 ,101,3º andar ,lumiar,415000,215552567
30367210,T3 ,126, ,lumiar,685000,215553184
31358406,T3 ,180,,lumiar,695000,215554759
31356718,T3 ,168,1º andar ,lumiar,645000,215550186
31356709,T1 ,59,1º andar ,lumiar,240000,215550186
31356716,T2 ,118,Rés do chão ,lumiar,475000,215550186
31356710,T1 ,59,Rés do chão ,lumiar,250000,215550186
31353509,T3 ,224,Rés do chão ,lumiar,675000,215561076
31352607,T4 ,170,1º andar ,lumiar,528000,
31350930,T4 ,197,2º andar ,lumiar,829000,215560731
31139498,T3 ,118,,lumiar,436000,244410182
31347575,T3 ,124,6º andar ,lumiar,460000,215550502
31347484,T3 ,131,8º andar ,lumiar,470000,215550502
31347550,T3 ,133,7º andar ,lumiar,475000,215550502
31347564,T3 ,124,7º andar ,lumiar,465000,215550502
31347549,T3 ,131,7º andar ,lumiar,465000,215550502
31347162,T1 ,61,1º andar ,lumiar,240000,215559063
31346266,T2 ,159,Rés do chão ,lumiar,690000,215552859
31345056,T4 ,198,11º andar ,lumiar,560000,215561029
31344081,T5 ,229,6º andar ,lumiar,745000,215561029
31342530,T3 ,100,7º andar ,lumiar,334500,215550694
31341968,T1 ,68,1º andar ,lumiar,210000,215550502
31341932,T1 ,69,1º andar ,lumiar,220000,215550502
31341736,T4 ,160,1º andar ,lumiar,530000,215568037
31340902,T2 ,92,1º andar ,lumiar,325000,215550502
31340903,T2 ,92,3º andar ,lumiar,335000,215550502
31340939,T2 ,92,4º andar ,lumiar,340000,215550502
31340904,T2 ,92,5º andar ,lumiar,345000,215550502
31340938,T2 ,92,2º andar ,lumiar,330000,215550502
31340901,T2 ,95, ,lumiar,320000,215550502
31340960,T4 ,167,2º andar ,lumiar,570000,215550502
31340954,T4 ,257,8º andar ,lumiar,810000,215550502
31340952,T4 ,167,4º andar ,lumiar,580000,215550502
31340953,T4 ,167,5º andar ,lumiar,585000,215550502
31340955,T3 ,131,7º andar ,lumiar,480000,215550502
31340951,T4 ,167,3º andar ,lumiar,575000,215550502
31340943,T3 ,133,7º andar ,lumiar,470000,215550502
31340918,T1 ,68, ,lumiar,220000,215550502
31340948,T3 ,131,6º andar ,lumiar,465000,215550502
31340946,T3 ,137,2º andar ,lumiar,440000,215550502
31340944,T3 ,124,7º andar ,lumiar,475000,215550502
31340940,T3 ,137,Rés do chão ,lumiar,430000,215550502
31340949,T3 ,131,8º andar ,lumiar,485000,215550502
31340947,T3 ,133,6º andar ,lumiar,460000,215550502
31340950,T4 ,167,1º andar ,lumiar,565000,215550502
31340899,T1 ,74,1º andar ,lumiar,225000,215550502
31328429,T4 ,148,1º andar ,lumiar,525000,215550418
31338288,T5 ,255,4º andar ,lumiar,990000,215561151
31336461,T1 ,87, ,lumiar,337500,215561846
31146740,T2 ,89, ,lumiar,170000,215552819
31335727,T5 ,263,5º andar ,lumiar,679000,215560958
31335404,T2 ,112, ,lumiar,510000,215561846
31331429,T3 ,150,4º andar ,lumiar,650000,215567291
31330361,T4 ,230,1º andar ,lumiar,595000,215552567
31328189,T4 ,149,2º andar ,lumiar,375000,215559587
31327043,T4 ,206,1º andar ,lumiar,575000,215552851
31327048,T3 ,155,6º andar ,lumiar,460000,215552851
31327047,T3 ,125,Rés do chão ,lumiar,430000,215552851
31327041,T2 ,142,4º andar ,lumiar,380000,215552851
31327040,T2 ,138,5º andar ,lumiar,360000,215552851
31327045,T2 ,132,Rés do chão ,lumiar,340000,215552851
31326950,T4 ,247,6º andar ,lumiar,820000,215552851
31326123,T3 ,200,2º andar ,lumiar,750000,215568914
31325404,T1 ,82,4º andar ,lumiar,240000,289987045
31325370,T2 ,119,Rés do chão ,lumiar,475000,215559063
31325396,T3 ,168,1º andar ,lumiar,645000,215559063
31323861,T3 ,140,,lumiar,370000,225558678
31323065,T4 ,131,1º andar ,lumiar,530000,215553078
31321876,T4 ,210, ,lumiar,650000,215550195
31321291,T3 ,152,,lumiar,659500,215552794
31320351,T2 ,90,2º andar ,lumiar,260000,215559672
